qid,lang,description
Q165379,fr,ancien constructeur automobile
Q165379,uk,виробник автомобілів
Q193391,it,funzionario dello Stato
Q193391,fr,personne désignée par un État pour entretenir des relations diplomatiques avec un autre État ou une organisation internationale
Q193391,es,funcionario público dedicado a la diplomacia
Q193391,en,person appointed by a state to conduct diplomacy with another state or international organization
Q193391,de,"Regierungsbeauftragter, der seinen Staat auf Regierungsebene gegenüber ausländischen Staaten oder internationalen Organisationen völkerrechtlich vertritt"
Q193391,pt,funcionário público que conduz diplomacia com outro Estado ou organização internacional
Q193391,ru,"человек, ведущий дипломатические переговоры с другими странами или международными организациями"
Q193391,cs,osoba pověřená zastupováním státu
Q193391,uk,"посадова особа, яка уповноважена урядом вести переговори з представниками іноземних держав чи організацій"
Q193391,id,orang yang ditunjuk oleh negara untuk menjalin diplomasi dengan negara lain atau organisasi internasional
Q193391,ja,外交使節団の長および使節団の職員
Q193391,nl,regeringsfunctionaris voor buitenlandse betrekkingen
Q193391,vi,cá nhân được bổ nhiệm bởi một nhà nước để thực thi các hoạt động ngoại giao với một nhà nước khác hoặc một tổ chức quốc tế
Q193391,ar,شخص معين من قبل دولة للقيام بالمهام الدبلوماسية مع دولة أخرى أو منظمة دولية
Q193391,he,נציג רשמי של מדינה הנשלח למדינה זרה לנהל יחסים בינלאומיים
Q193391,pl,przedstawiciel państwa za granicą
Q193391,sv,tjänsteman som företräder sitt lands regering
Q193391,da,embedsmænd der repræsenterer deres regeringer
Q193391,fi,valtiota edustava lähettiläs
Q193391,zh,職業
Q193391,tr,dış politikayla uğraşan ve ülkesini yurt dışında temsil etmekle görevlendirilen kimse
Q193391,ms,orang yang dilantik oleh sesebuah negara untuk menjalinkan diplomasi dengan negara atau pertubuhan antarabangsa yang lain
Q193391,hu,külkepviseleteken dolgozó állami tisztviselő
Q193391,ko,타국 또는 국제 외교 업무를 하는 사람
Q193391,uz,chet mamlakatlar bilan muzokaralar olib borish uchun oʻz hukumati tomonidan vakil qilib tayinlangan shaxs
Q193391,kk,басқа мемлекетпен немесе халықаралық ұйыммен дипломатия жүргізу үшін мемлекет тағайындаған адам
Q193391,sk,štátny úradník poverený zastupovaním svojho štátu pri medzinárodných stykoch
Q193391,lv,valsts oficiālais pārstāvis ārvalstīs vai starptautiskās organizācijās
Q193391,ro,persoană desemnată de stat să conducă diplomația cu un alt stat sau organizație internațională
Q80866,fr,Chef
Q80866,es,persona considerada especialmente pía a la que popularmente se atribuye cierta santidad
Q80866,en,Sufi religious leader and teacher in North and West Africa
Q80866,tr,Batı Afrika kökenli Müslüman din önderi ve öğretmen.
Q80866,it,"in ambito islamico, santo riconosciuto a livello locale"
Q80866,de,westafrikanischer islamischer Heiliger
Q80866,sl,sufijski verski voditelj in učitelj v Zahodni Afriki
Q201788,en,scholar who deals with the exploration and presentation of history
Q201788,it,persona che studia il passato
Q201788,es,profesional que estudia la historia
Q201788,de,"Wissenschaftler, der sich mit der Erforschung und Darstellung der Geschichte beschäftigt"
Q201788,hu,a múlt kutatásával és leírásával foglalkozó tudós
Q201788,fr,personne qui étudie ou communique sur l'histoire
Q201788,cs,vědec zabývající se dějinami
Q201788,pl,badacz zajmujący się historią
Q201788,el,πρόσωπο που μελετά και γράφει σχετικά με το παρελθόν
Q201788,ru,"человек, занимающийся исследованиями и описанием фактов в рамках исторической науки"
Q201788,zh,研究歷史的學者
Q201788,nl,iemand die historisch onderzoek verricht
Q201788,he,אדם שלומד וכותב על העבר
Q201788,sl,"oseba, ki študira in popisuje dogodke preteklosti"
Q201788,fi,"henkilö, joka tutkii historiaa"
Q201788,id,"orang yang mempelajari, memahami dan menulis peristiwa masa lalu."
Q201788,sk,"človek, ktorý sa zaoberá históriou"
Q201788,vi,người chuyên nghiên cứu về lịch sử
Q201788,pt,pessoa que estuda e escreve sobre o passado
Q201788,uk,"людина, яка вивчає минуле; дослідник(-ця), викладач(ка) історії"
Q201788,ro,savant care se ocupă cu explorarea și prezentarea istoriei
Q201788,tr,tarih alanında çalışan bilim insanı
Q201788,sv,vetare som studerar historiens utveckling och historiska skildringar
Q201788,da,person som studerer og skriver om fortiden
Q201788,lv,vēstures speciālists
Q201788,ar,الباحث الذي يتعامل مع استكشاف وعرض التاريخ
Q201788,be,даследчык і апісальнік фактаў у межах гістарычнай навукі
Q201788,kk,тарих ғылымының аясында оқиғаларды зерттеумен және баяндаумен айналысатын адам
Q201788,ja,歴史を叙述する人、歴史を研究する人
Q201788,ga,scoláire a bhíonn ag plé le hiniúchadh agus cur i láthair na staire
Q201788,ko,역사에 대하 연구하는 학자
Q201788,uz,tarix sohasida faoliyat koʻrsatgan olim
Q201788,fa,پژوهشگری که با ثبت و بررسی تاریخ سروکار دارد
Q247549,de,Automarke
Q247549,en,automobile manufacturer
Q247549,uk,виробник автомобілів
Q247583,de,ehemaliger Automobilhersteller
Q247583,en,automobile manufacturer
Q247583,fr,ancien constructeur automobile
Q247583,uk,виробник автомобілів
Q247797,de,Beruf
Q247797,pl,zawód
Q247797,en,profession
Q247797,bg,професия
Q247797,fr,personne travaillant pour la douane
Q247797,hu,foglakozás
Q247797,uk,професія
Q247797,it,professione
Q247797,es,persona que trabaja en una aduana controlando las mercancías
Q247797,nl,verificateur
Q247797,sv,person som är anställd vid en nations tullmyndighet
Q247542,de,ehemaliger Automobilhersteller
Q247542,en,automobile manufacturer
Q247542,fr,ancien constructeur automobile
Q247542,uk,виробник автомобілів
Q102083,de,Angehörige des wehrfähigen Adels im europäischen Mittelalter
Q102083,nl,militair ruiter uit de middeleeuwen
Q102083,en,person granted an honorary title by a monarch or other political leader
Q102083,fr,"personne ayant reçu un titre de chevalerie d'un monarque ou d'un seigneur, dans l'Europe médiévale"
Q102083,es,persona poseedora de un título honorario de un monarca o un señor feudal
Q102083,ru,воинское звание и дворянский титул
Q102083,sv,ursprungligen en medeltida titel för en frälseman som fått riddarslaget
Q102083,it,titolo onorifico conferito a un guerriero a cavallo da un monarca o signore dell'Europa medievale
