qid,lang,description
Q998550,uk,"людина, що продає книги"
Q998550,ta,நூல்களை விற்கும் நபர்
Q998550,sl,"oseba ali drug zastopnik, ki prodaja knjige"
Q998550,et,elukutse
Q998550,he,מקצוע מכירת ספרים
Q998550,nl,persoon die in boeken handelt
Q998628,en,"artist who illustrates manuscripts and books with pictures, ornaments and initials"
Q998628,de,"Künstler, der Manuskripte und Bücher mit Bildern, Ornamenten und Initialen illustriert"
Q998628,fr,artiste spécialisé dans la décoration des manuscrits
Q998628,es,persona que se dedica a la decoración de manuscritos
Q998628,pl,artysta zajmujący się iluminowaniem książek i manuskryptów
Q998628,uk,"художник(-ця), що ілюструє книги та манускрипти"
Q998628,el,καλλιτέχνης που εικονογραφεί χειρόγραφα και βιβλία
Q998628,ar,الفنان الذي يقوم بزخرفة الكتب والمطبوعات
Q998628,it,pittore specializzato nella decorazione di manoscritti
Q998628,mt,artist li jpinġi l-istampi fil-kotba u fil-manuskritti
Q998628,fa,هنرمندی که کتاب‌ها و نسخه‌های خطی را تصویر می‌کند
Q998628,ja,原稿や本に絵や装飾、イニシャルを描く芸術家
Q664283,es,"persona que se encarga de la realización de acristalamientos, cristales, instalación de vidrios"
Q664283,de,"Handwerker, der Glas verarbeitet"
Q664283,en,person who cuts and sets glass for example window panes
Q664283,cs,profese
Q664283,pt,profissão
Q664283,pl,zawód
Q664283,ar,عامل يركب الزجاج
Q664283,tr,cam ustası
Q664283,sk,remeselník zasklievajúci okná
Q664283,uk,професія
Q664283,da,"håndværker, der arbejder med glas"
Q664283,nl,"persoon die glas, zoals ruiten, snijdt en zet"
Q664283,he,בעל מלאכה העוסק בזיגוג
Q664324,de,deutscher Landmaschinen- und später auch Kraftfahrzeughersteller
Q664324,en,former German automotive company
Q664324,it,casa automobilistica e motociclistica tedesca
Q664324,fr,ancien constructeur automobile allemand
Q664324,sv,tyskt bilmärke
Q664324,fi,saksalainen automerkki
Q664324,es,fabricante de automóviles alemán desaparecido
Q664324,nl,een Duits bedrijf
Q664324,cs,bývalá německá automobilka
Q663272,en,someone with specialised knowledge who testifies in court
Q663272,es,experto que suministra información u opinión fundada a los tribunales de justicia
Q663272,pt,Perito criminal
Q663272,he,חוק ומשפט
Q663272,hu,"bíróságok által felkért, egy szakterületen belül tájékoztatásra jogosult személy"
Q663272,fr,personne qualifiée dans un domaine autre que le droit entendue dans un procès comme témoin pour apporter ses connaissances académiques ou techniques sur des points précis
Q663272,de,"sachkundige Person, die im Auftrag von Behörden und Gerichten Gutachten erstellt"
Q663272,ja,裁判において専門的知見に基づき意見を述べる人
Q663272,uk,"кваліфікована особа в галузі, відмінній від права, викликана як свідок у судовому процесі для надання своїх академічних або технічних знань з певних питань"
Q663272,cs,odborník podávající znalecký posudek soudu
Q674555,de,Automobilhersteller
Q674555,fr,constructeur automobile
Q674555,en,company
Q674555,ar,شركة
Q674555,uk,компанія
Q674555,pt,construtora de automóvel belga
Q679063,de,Wikimedia-Liste
Q679063,en,Wikimedia list article
Q679063,bg,Уикимедия списък
Q679063,pl,lista w projekcie Wikimedia
Q679063,ar,قائمة ويكيميديا
Q679063,es,artículo de lista de Wikimedia
Q679063,fr,fonction épiscopale
Q679063,el,κατάλογος εγχειρήματος Wikimedia
Q679063,uk,стаття-список у проєкті Вікімедіа
Q679063,sk,zoznamový článok projektov Wikimedia
Q679063,ta,விக்கிப்பீடியா:பட்டியலிடல்
Q679063,nl,Wikimedia-lijst
Q679063,it,lista di un progetto Wikimedia
Q679063,he,רשימת ערכים
Q679063,vi,bài viết danh sách Wikimedia
Q679063,sl,seznam Wikimedie
Q679063,cs,seznam na projektech Wikimedia
Q679063,be,спіс артыкулаў у адным з праектаў Вікімедыя
Q679063,hr,popis na Wikimediji
Q679063,ja,ウィキメディアの一覧記事
Q679063,ko,위키미디어 목록 항목
Q679063,ru,статья-список в проекте Викимедиа
Q679063,bn,উইকিমিডিয়ার তালিকা নিবন্ধ
Q679063,hy,Վիքիմեդիայի նախագծի ցանկ
Q679063,zh,维基媒体列表条目
Q679063,da,Wikimedia liste
Q679063,sv,Wikimedia-listartikel
Q679063,fi,Wikimedia-luetteloartikkeli
Q679063,ro,articol-listă în cadrul unui proiect Wikimedia
Q679063,tr,Vikimedya liste maddesi
Q679063,ms,rencana senarai Wikimedia
Q679063,th,บทความรายชื่อวิกิมีเดีย
Q679063,id,artikel daftar Wikimedia
Q678510,nl,Samaritanen
Q678510,en,Wikimedia list article
Q678510,de,Wikimedia-Liste
Q678510,bg,Уикимедия списък
Q678510,fi,Wikimedia-luetteloartikkeli
Q678510,be,спіс артыкулаў у адным з праектаў Вікімедыя
Q678510,ta,விக்கிப்பீடியா:பட்டியலிடல்
Q678510,vi,bài viết danh sách Wikimedia
Q678510,sv,Wikimedia-listartikel
Q678510,bn,উইকিমিডিয়ার তালিকা নিবন্ধ
Q678510,es,artículo de lista de Wikimedia
Q678510,it,lista di un progetto Wikimedia
Q678510,el,κατάλογος εγχειρήματος Wikimedia
Q678510,he,המנהיג הדתי של השומרונים
Q678510,uk,стаття-список у проєкті Вікімедіа
Q678510,cs,seznam na projektech Wikimedia
Q678510,hy,Վիքիմեդիայի նախագծի ցանկ
Q678510,hr,popis na Wikimediji
Q678510,ru,статья-список в проекте Викимедиа
Q678510,sl,seznam Wikimedie
Q678510,ar,قائمة ويكيميديا
Q678510,da,Wikimedia liste
Q678510,ko,위키미디어 목록 항목
Q678510,pl,lista w projekcie Wikimedia
Q678510,ja,ウィキメディアの一覧記事
Q678510,sk,zoznamový článok projektov Wikimedia
Q678510,fr,liste d'un projet Wikimedia
Q678510,zh,维基媒体列表条目
Q678510,id,artikel daftar Wikimedia
Q678510,tr,Vikimedya liste maddesi
Q678510,th,บทความรายชื่อวิกิมีเดีย
Q678510,ro,articol-listă în cadrul unui proiect Wikimedia
Q678510,ms,rencana senarai Wikimedia
Q678003,en,professional teacher of driving skills
Q678003,id,pelatih keterampilan mengemudi profesional
Q678003,ru,"человек, который обучает управлять автомобилем"
Q678003,fr,profession
Q678003,it,professione
Q678003,de,Beruf
Q678003,cs,profese
Q678003,sv,yrke i att instruera i framförandet av ett fordon
Q678003,pl,osoba ucząca inne osoby prowadzenia pojazdów mechanicznych
Q678003,uk,"людина, що навчає керуванню транспортним засобом"
Q678003,ro,profesor profesionist de abilități de conducere
Q678003,da,professionel underviser af kørefærdigheder
Q1988239,nl,Nederlands bedrijf
Q1988239,en,historical motorcycle manufacturer in Netherlands
Q1988239,ar,شركة
Q1992539,nl,Londen
Q1992539,en,UK historical motorcycle manufacturer
Q1986899,nl,motorfiets
Q1986899,en,UK historical motorcycle manufacturer
Q1992578,nl,motorfiets
Q1992578,en,UK historical motorcycle manufacturer
Q1990502,de,"die Abkürzung des englischen Wortes lightjockey, ein Licht-Operator"
Q1990502,fr,"l'abréviation du mot anglais lightjockey, un opérateur lumière"
Q1990502,en,the abbreviation of the English word light jockey
Q1993351,nl,motorfiets
Q1993351,en,UK historical motorcycle manufacturer
Q1986317,nl,merk
Q1986317,en,"Historic Italian brand of motorcycle , named after the founder, Giacinto Simoncelli,"
Q1983768,de,ehemaliger Automobilhersteller
Q1983768,en,motor vehicle
Q1983768,uk,транспортний засіб з двигуном
Q1987189,de,niederländischer Begriff für einen Typ von Handwerker
Q1987189,en,Dutch term for a type of craftsman
Q1987189,fr,terme néerlandais pour un type d'artisan
Q1992531,en,1920–1963 aircraft manufacturer in the United Kingdom
Q1992531,cs,britská letecká společnost
Q1992531,ja,かつてのイギリスの航空機メーカー
Q1992531,sl,proizvajalec zrakoplovov v Združenem kraljestvu (1920–1963)
Q1992531,pl,brytyjska wytwórnia lotnicza
Q1992531,de,ehemaliger britischer Flugzeughersteller
Q1992531,sv,brittisk flygplanstillverkare
Q1993358,it,amministratore nominato dalla Santa Sede durante la vacanza di una sede vescovile
Q1993358,es,clérigo nombrado por la Santa Sede para administrar temporalmente una sede episcopal o regir una administración apostólica
Q1993358,ru,церковная должность
Q1993358,id,jabatan dalam Gereja Katolik
Q1993358,fr,administrateur temporaire d'un diocèse
Q1993358,en,sede vacante administrator of a diocese or archdiocese appointed by the pope
Q1993358,ar,مديرٌ مؤقت لإحدى الأبرشيات الكاثوليكية
Q1993358,ga,riarthóir sealadach deoise
Q1993358,pl,urząd kościelny
Q1993358,hr,upravitelj apostolske administrature
Q1993358,ro,administrator temporar al unei eparhii
Q1993358,de,"ein vom Papst eingesetzter Verwalter einer bestimmten Diözese, eines umschriebenen Bistumsteiles bzw. eines bistumsähnlichen Kirchenterritoriums oder der Leiter einer Apostolischen Administratur"
Q2029179,pl,zakonnik który ma święcenia kapłańskie
Q2029179,en,religious who is an ordained priest
Q2029179,de,"Ordensangehöriger (Pater), der zum Priester geweiht wurde"
Q2029179,fr,prêtre qui appartient à un ordre religieux
Q2029179,es,ordenado sacerdote religioso
Q2029179,ru,"монах, имеющий священный сан"
Q2029179,fa,تارک دنیا
Q2029179,da,"munk, der blev ordineret præst"
Q2029179,it,presbitero appartenente a un ordine religioso
Q2029179,hu,pappá szentelt szerzetes
Q2029179,ar,راهبٌ رُسم كاهنًا
Q2029179,mt,membru ta' ordni reliġjuża ordrnat saċerdot
Q2029179,nl,"kloosterling, die tot priester is gewijd"
Q2029179,be,пасвячоны ў святары манах
Q2029179,hr,zaređeni svećenik
Q2027114,de,ehemaliger Automobilhersteller
Q2027114,en,motor vehicle
Q2027114,uk,транспортний засіб з двигуном
Q2026501,en,automotive manufacturer
Q2026501,de,Tochtergesellschaft
Q2026557,en,profession
Q2026557,de,polizeilicher Mitarbeiter
Q2026728,nl,motorfietsmerk uit Verenigd Koninkrijk
Q2026728,en,UK historical motorcycle manufacturer
Q2027693,ru,гражданский чин III класса в Российской империи
Q2028196,en,"former Spanish motorcycle manufacturer, based in Bilbao"
Q2028221,nl,motorfietsmerk uit Verenigd Koninkrijk
Q2028221,en,British manufacturer of bicycles and mopeds
Q2029015,nl,motorfietsmerk uit Verenigd Koninkrijk
Q2029015,en,UK historical motorcycle manufacturer
Q994779,en,individual who speaks or acts on behalf of an organization
Q994779,es,individuo que habla y actúa en nombre de una organización o grupo
Q994779,da,"person, der taler eller agerer på vegne af en organisation"
Q994779,cs,osoba zmocněná k zastupování nějaké organizace; člen delegace
Q994779,fr,personne qui parle ou agit au nom d'une organisation
Q994779,sl,"oseba, ki govori ali deluje v imenu organizacije"
Q994779,de,gewählte oder persönlich von einer dazu befähigten Instanz beauftragte Akteure
Q997560,nl,automerk
Q997560,de,ehemaliger Automobilhersteller
Q997560,en,automobile manufacturer
Q997560,fr,ancien constructeur automobile
Q997560,uk,виробник автомобілів
Q997884,de,ehemaliger Automobilhersteller
Q997884,en,automobile manufacturer
Q997884,fr,ancien constructeur automobile
Q997884,uk,виробник автомобілів
Q992313,de,Automobilhersteller
Q992313,en,automobile manufacturer
Q992313,fr,constructeur automobile
Q992313,fa,شرکت مشترک ایرانی-فرانسوی
Q992313,it,casa automobilistica
Q992313,uk,виробник автомобілів
Q992778,en,profession
Q992778,fr,profession
Q992778,de,Beruf
Q992778,uk,фах
Q994284,de,ehemaliger Automobilhersteller
Q994284,en,automobile manufacturer
Q994284,fr,ancien constructeur automobile
Q994284,uk,виробник автомобілів
Q994313,de,ehemaliger Automobilhersteller
Q994313,en,company
Q994313,fr,ancien constructeur automobile
Q994313,cs,americká firma
Q994313,nl,bedrijf uit Verenigde Staten van Amerika
Q994313,ar,شركة أمريكية
Q994313,uk,компанія
Q994884,de,ehemaliger Automobilhersteller
Q994884,en,automobile manufacturer
Q994884,fr,ancien constructeur automobile
Q994884,uk,виробник автомобілів
Q996575,es,empleado destinado a la custodia de un puente
Q996575,da,person med ansvar for driften af en bro
Q996575,de,für den ordnungsgemäßen und sicheren Betrieb von großen Straßenbrücken verantwortliche Person
Q997356,de,ehemaliger Automobilhersteller
Q997356,en,automobile manufacturer
Q997356,fr,ancien constructeur automobile
Q997356,uk,виробник автомобілів
Q997650,fa,خودرو کلاسیک
Q997650,de,ehemaliger Automobilhersteller
Q997650,en,automobile manufacturer
Q997650,fr,ancien constructeur automobile
Q997650,uk,виробник автомобілів
Q997650,sv,fransk biltillverkare
Q667982,en,designation in industries
Q667982,es,"profesión en la música, cine, diseño, etc."
Q667982,fr,profession
Q667982,de,"Person, die in unterschiedlichen Zweigen der Kommunikations- oder Werbebranche sowie der Unterhaltungsindustrie tätig ist"
Q667982,ar,منصب في سوق العمل
Q667982,uz,o'yin-kulgi yoki reklama sanoatida belgilash
Q667982,it,figura professionale
Q667982,ru,"человек, который принимает творческие решения на высшем уровне"
Q667978,nl,gladiator
Q667978,de,Gladiatorenklasse
Q667978,es,gladiador que combatía a caballo
Q667978,en,type of Roman gladiator
Q667978,ru,вид гладиаторов
Q667978,fr,gladiateur à cheval
Q667978,sl,vrsta rimskega gladiatorja
Q666281,en,"name for the professional poets who were clients of the Welsh nobles, from about the 13th century to the early modern period"
Q666281,de,"Bezeichnung für die professionellen Dichter, die etwa vom 13. Jahrhundert bis zur frühen Neuzeit Kunden des walisischen Adels waren"
Q666261,en,the head of the Romanian Orthodox Church
Q666261,nl,hoofd van de Roemeens-orthodoxe Kerk
Q666261,bg,Уикимедия списък
Q666261,ar,قائمة ويكيميديا
Q666261,es,cargo ocupado por el líder espiritual de la Iglesia Ortodoxa Rumana
Q666261,el,ο επικεφαλής της Ρουμανικής Ορθόδοξης Εκκλησίας
Q666261,uk,стаття-список у проєкті Вікімедіа
Q666261,sk,zoznamový článok projektov Wikimedia
Q666261,ta,விக்கிப்பீடியா:பட்டியலிடல்
Q666261,it,capo spirituale della Chiesa ortodossa rumena
Q666261,he,רשימת ערכים
Q666261,vi,bài viết danh sách Wikimedia
Q666261,sl,seznam Wikimedie
Q666261,cs,seznam na projektech Wikimedia
Q666261,be,спіс артыкулаў у адным з праектаў Вікімедыя
Q666261,hr,popis na Wikimediji
Q666261,ja,ウィキメディアの一覧記事
Q666261,ko,위키미디어 목록 항목
Q666261,ru,статья-список в проекте Викимедиа
Q666261,bn,উইকিমিডিয়ার তালিকা নিবন্ধ
Q666261,hy,Վիքիմեդիայի նախագծի ցանկ
Q666261,zh,维基媒体列表条目
Q666261,da,Wikimedia liste
Q666261,sv,Wikimedia-listartikel
Q666261,fi,Wikimedia-luetteloartikkeli
Q666261,ro,șeful Bisericii Ortodoxe Române
Q666261,tr,Vikimedya liste maddesi
Q666261,ms,rencana senarai Wikimedia
Q666261,th,บทความรายชื่อวิกิมีเดีย
Q666261,id,artikel daftar Wikimedia
Q666261,hu,Wikimédia-listaszócikk
Q668620,de,ehemaliger Automobilhersteller
Q668620,fr,ancien constructeur automobile
Q668620,cs,zaniklá belgická automobilka
Q668620,en,Belgian automobile manufacturer
Q670132,en,motorcycle manufacturer
Q670132,de,schweizer Motorrad-Hersteller
Q1975882,nl,motorfiets
Q1975882,en,historical British make of motorcycle
Q1975310,nl,Londen
Q1975310,en,historical motorcycle manufacturer
Q1975715,en,"person who offered loans with extremely high interest rates, often with strict terms of collection"
Q1975715,de,"Wirtschaftssubjekte, die bonitätsschwachen Schuldnern Kredite zu besonders nachteiligen Kreditbedingungen anbieten"
Q1975715,zh,貸款類型
Q1975715,ja,高利貸
Q1975715,ru,"лицо или организация, предлагающая ссуды по чрезвычайно высоким процентным ставкам"
Q1975715,es,"persona que ofrecía préstamos con tasas de interés extremadamente altas, a menudo con términos estrictos de cobro"
Q1975715,fr,activité de qui profite d'un taux abusif
Q1975715,uk,"суб’єкти господарювання, котрі надають кредити боржникам з низьким кредитним рейтингом на особливо невигідних кредитних умовах"
Q1975715,fi,"henkilö, joka vaatii lainaamastaan rahasta ylenmääräistä korkoa"
Q1975935,ja,日本でかつて軍事に携わった身分の者
Q1975935,nl,Japans deelnemer aan een krijgsgroep
Q1975935,cs,"člen/mistr jednotek kooperativní válečné obrany rodiny/rodu v 10. - 19. stoletích v Japonsku (širší pojem, než samuraj)"
Q1975935,uk,японський вояк
Q1975935,fr,guerrier japonais
Q1975935,de,japanischer Krieger
Q1975935,es,guerrero japonés
Q1975935,zh,古代日本的社會階級
Q1975935,en,type of a Japanese warrior
Q1975935,ar,محارب ياباني
Q1975935,ko,일본의 족보이며 가족공동체의 구성원
Q1975935,pt,Nomenclatura alternativa para Samurai
Q1975935,el,Ιάπωνας πολεμιστής
Q679063,yo,ojúewé àtojọ Wikimedia
Q678510,yo,ojúewé àtojọ Wikimedia
Q666261,yo,ojúewé àtojọ Wikimedia
Q2006781,nl,motorfiets
Q2006781,de,ehemaliger italienischer Motorradhersteller
Q2006781,en,former Italian motorcycle manufacturer
Q2005653,en,officer of the court who is employed to execute writs and processes and make arrests
Q2005653,fi,"virkamies, joka perii saatavia"
Q2005653,es,oficial de la corte que se emplea para ejecutar los decretos judiciales y los procesos y para hacer detenciones
Q2005653,nl,rechtsbeambte met als taak officiële juridische stukken te bezorgen en vonnissen ten uitvoer te leggen
Q2005653,fr,officier public et ministériel dont la fonction est d'exécuter les décisions judiciaires
Q2005653,de,Beruf
Q2005653,cs,"svobodné právnické povolání, které podle exekučního řádu zajišťuje provádění exekucí"
Q2005653,ro,profesionist din domeniul juridic
Q2005653,pl,zawód zaufania publicznego wykonywany przez funkcjonariusza publicznego
Q2005653,it,professione giuridica in vari ordinamenti
Q2005896,de,ehemaliger Automobilhersteller
Q2005896,en,defunct Slovakian automobile manufacturer
Q2007087,en,German historical motorcycle manufacturer
Q2007087,fr,fabricant de moto allemand disparu
Q2007087,nl,motorfietsmerk uit Duitsland
Q2007087,de,Überblick über die Motorradindustrie in Nürnberg
Q2008642,nl,bedrijf uit Spanje
Q2008642,ar,شركة إسبانية
Q2008642,en,Spanish motorcycle manufacturer
Q2008794,fr,guide spirituel
Q2010292,en,Dutch mediaeval court manager
Q2010292,nl,middeleeuws verantwoordelijke voor een hofhuishouden
Q2011012,en,head of a public prosecutor's office in Germany
Q2011012,de,Beförderungsamt eines Staatsanwaltes
Q1646408,en,"female superior of a community of nuns, often an abbey"
Q1646408,fr,"supérieure d'une abbaye, équivalent féminin d'un abbé"
Q1646408,es,"superiora de una comunidad de monjas, a menudo una abadía"
Q1646408,ru,настоятельница женского монастыря (аббатства) в католической церкви
Q1646408,nl,vrouwelijk hoofd van een nonnenklooster
Q1646408,pl,"żeńska przełożona wspólnoty sióstr, często w opactwie"
Q1646408,de,"Vorsteherin einer Gemeinschaft von Nonnen, meist einer Abtei"
Q1646408,cs,"představená komunity jeptišek, často v opatstvích"
Q1646408,fi,naisluostarin johtaja
Q1646408,sv,föreståndarinnan för ett nunnekloster
Q1646408,da,opsynsmand for en kloster
Q1646408,ro,conducătoare a unei comunitӑți de călugărițe
Q1646408,it,"superiora di una comunità di monache, spesso un'abbazia"
Q1646408,tr,bir manastırdaki rahibeler topluluğunun kadın amiri
Q1646408,ja,修道女の共同体の長
Q1647775,es,persona que se especializa en el criptoanálisis
Q1647775,en,person who breaks codes
Q1647775,fr,personne qui effectue une cryptanalyse
Q1647775,ru,специалист по криптоанализу
Q1647775,az,kriptoanaliz üzrə ixtisaslaşmış şəxs
Q1647775,id,orang yang memecahkan kode-kode
Q1647775,cs,osoba věnující se analýze a lámání šifer
Q1647775,ar,شخص متخصص في استخراج المعمى
Q1647775,hu,"kódokat, ismeretlen szövegeket megfejtő személy"
Q1647775,uk,спеціяліст з криптоаналізу
Q1647775,de,"Person, die Kryptoanalysen durchführt"
Q1645900,de,ehemaliger Automobilhersteller
Q1645900,fr,constructeur automobile
Q1646105,de,ehemaliger Automobilhersteller
Q635734,es,persona dedicada a la organización y mantenimiento de un archivo
Q635734,en,"professional who assesses, collects, organizes, preserves, maintains control over, and provides access to information determined to have long-term value"
Q635734,fr,personne chargée de la gestion des archives
Q635734,it,professionista addetto alla manutenzione organizzativa di un archivio
Q635734,ru,"хранитель документов, сотрудник архива"
Q635734,de,"Person, die Dokumente übernimmt, organisiert und schützt"
Q635734,hr,"osoba koja skuplja, organizira, čuva, daje pristup informacijama koje imaju dugotrajnu vrijednost"
Q635734,da,"person, der arbejder med arkiver"
Q635734,nl,persoon die verantwoordelijk is voor het beheer van archieven
Q635734,id,"seorang profesional yang menilai, mengumpulkan, mengatur, mempertahankan, mempertahankan kendali atas, dan menyediakan akses ke informasi yang ditentukan untuk memiliki nilai jangka panjang"
Q635734,hu,"levéltár munkatársa, dokumentumokat gyűjtő, rendszerező személy"
Q635734,zh,對具有長期價值的信息的評估，收集，組織，保存，維護控制權，並提供訪問權限專業人員
Q635734,ro,"profesionist care evaluează, colectează, organizează, păstrează, menține controlul și oferă acces la informații determinate de a avea o valoare pe termen lung"
Q635734,sv,"person som arbetar med att utreda, vårda, ordna och förteckna ett arkivbestånd, samt ge service och access till arkivets användare"
Q635734,mt,"persuna li tivvaluta, tiġbor, torganizza, tippreserva, tikkontrolla, u tagħti aċċess għal informazzjoni fl-arkivji"
Q635734,ja,永久保存価値のある情報を査定、収集、整理、保存、管理し、閲覧できるよう整える専門職
Q635734,cs,profese
Q635734,pt,"Profissional que organiza, reúne, preserva, controla e fornece acesso a informação orgânica e registrada"
Q635734,sl,"strokovnjak, ki ocenjuje, zbira, organizira, hrani, vzdržuje nadzor in zagotavlja dostop do informacij, ki imajo dolgoročno vrednost"
Q635734,ko,기록관리 책임자
Q635734,sk,odborne vyškolený pracovník archívu
Q635988,de,Motorroller mit Ein-Zylinder-Viertaktmotor und Kardanantrieb
Q637324,de,"Sammelbegriff für die Priester, Geisterbeschwörer und Kräuterheiler der Yoruba in Westafrika"
Q637324,en,Ifa priestly title
Q637324,es,sacerdote de la religión Yoruba
Q1996635,de,"Beruf, in dem Brillen und Kontaktlinsen hergestellt werden"
Q1996635,fr,profession où les lunettes et lentilles de contact sont faites
Q1996635,en,dispenser of eyeglasses and contact lenses
Q1996635,ar,تركيب النظارات والعدسات اللاصقة عن طريق فحص النظر .
Q1996635,es,profesión
Q1996635,sv,person som ordinerar glasögon och kontaktlinser
Q1996635,da,person der ordinerer briller og kontaktlinser
Q1996635,fi,ammatillinen nimike
Q1996635,nl,expert op het gebied (en verstrekker) van brillen en contactlenzen
Q1996635,it,professionista specializzato in lenti
Q1996635,fa,فرایند ساخت عینک طبی توسط عینک‌ساز
Q1997428,nl,aap
Q1997428,bn,রেসাস প্রজাতির একটি পুরুষ বানর। যে এই ভি-২ রকেটে করে মহাকাশে প্রথম ভ্রমণ করে। যার নাম ছিলো আলবার্ট
Q1997428,en,space pioneer
Q1997428,ta,விண்வெளிக்கு சென்ற விலங்கு
Q1997428,sl,vesoljski pionir
Q1997428,fr,premier mammifère dans l'espace
Q1997865,de,ehemaliger Automobilhersteller
Q1997865,es,productor de automóviles francés (1906-1910)
Q1997865,en,car brand in France
Q1997854,de,schwedische Automarke
Q1996467,fr,poètes et compositeurs de langue d'oïl au Moyen Âge
Q1996467,pl,Średniowieczni artyści
Q1996467,sv,historisk skald i Frankrike
Q1996467,en,Medieval northern French poet-composers
Q1996467,ru,"средневековые поэты-музыканты, слагавшие песни на старофранцузском языке"
Q1996467,it,poeta-compositore medievale in lingua d'oïl
Q1996467,ar,شاعر موسيقي
Q1996467,es,poetas-compositores de la Alta Edad Media que compusieron sus obras en los dialectos del norte de Francia
Q1996467,ga,file meánaoiseach Francach
Q1996467,nl,Noordfranse dichters-componisten uit de middeleeuwen
Q664702,en,organization or person that takes bets on sporting events
Q664702,es,persona que actúa como intermediario entre jugadores que realizan apuestas
Q664702,el,οργανισμός που δέχεται στοιχήματα για διάφορα γεγονότα
Q664702,de,"Wettanbieter, der für Wetten auf Personen oder zukünftige Ereignisse nach einer Quote Gewinne garantiert"
Q664702,pl,przedsiębiorstwo lub osoba organizująca zakłady na wyniki zawodów sportowych
Q664702,sv,organisation eller person som organiserar vadslagning
Q664702,hu,fogadásokat könyvelő személy
Q664702,uk,"людина, чиєю професією є отримувати гроші від тих, хто робить ставки"
Q664702,fr,personne morale ou physique permettant de parier de l'argent sur des évènements
Q664702,it,persona che registra le scommesse
Q664702,ru,"персона или организация, занимающаяся приёмом ставок на исход спортивных и иных мероприятий"
Q664702,fi,vedonlyöntejä järjestevä organisaatio tai henkilö
Q664702,ja,欧米における賭け屋
Q664702,he,אדם או ארגון שמנהל ומארגן הימורים
Q664702,tr,spor müsabakalarına bahis oynayan kuruluş veya kişi
Q664702,ro,persoană juridică sau fizică ce pariază pe evenimente sportive
Q665239,de,Automobilhersteller
Q665239,it,casa automobilistica svizzera
Q665239,en,automobile manufacturer
Q665239,fr,constructeur automobile
Q665239,uk,виробник автомобілів
Q665121,en,branch of service
Q665121,ru,"римский воин, носивший знамя когорты"
Q664713,de,ehemaliger Automobilhersteller
Q664713,en,automobile manufacturer
Q664713,fr,ancien constructeur automobile helvétique
Q664713,uk,виробник автомобілів
Q1345183,nl,autofabrikant
Q1345183,de,ehemaliger Automobilhersteller
Q1345183,en,automobile manufacturer
Q1345183,fr,ancien constructeur automobile
Q1345183,uk,виробник автомобілів
Q1344174,en,"person who represents the interests of entertainment, broadcast, and sports professionals"
Q1344174,fr,personne représentant des artistes
Q1344174,da,"person der finder arbejde til skuespillere, musikere, professionelle sportsudøvere, etc."
Q1344174,de,"Dienstleister, der für darstellende Künstler Auftritte vermittelt"
Q1344174,es,"persona que representa los intereses de los profesionales del entretenimiento, radio, TV y deporte"
Q1344174,ru,"представитель интересов людей из сферы развлечений, телевещания и спорта"
Q1344174,uk,"представник інтересів людей зі сфери розваг, телемовлення та спорту"
Q1344174,vi,những người tìm việc làm cho văn nghệ sĩ và vận động viên
Q1344174,ko,주로 영화에서 배우와 감독의 권리를 대행하는 인물
Q1344333,de,deutsche Traktormarke
Q1344333,en,automobile manufacturer
Q1344333,uk,виробник автомобілів
Q1344432,de,ehemaliger Automobilhersteller
Q1344432,en,automobile manufacturer
Q1344432,fr,ancien constructeur automobile
Q1344432,uk,виробник автомобілів
Q1344744,nl,motorfiets
Q1344744,en,"motorcycle manufacturer based in Rochester, New Hampshire"
Q1344744,de,US-amerikanischer Motorradhersteller
Q1345663,de,"Person, die Entwicklungshilfe leistet"
Q1345663,en,occupation; person engaged in social or economic development work
Q1994548,nl,motorfiets
Q1994548,en,UK historical motorcycle manufacturer
Q1993462,en,French motorcycle manufacturer
Q1993462,nl,motorfietsmerk uit Frankrijk
Q1993633,zh,佛教、印度教的大成就者
Q1993633,en,"someone who embodies and cultivates the ""siddhi of perfection"""
Q1993633,bn,বজ্রযানী বৌদ্ধ সিদ্ধাচার্য
Q1993716,de,Automobilhersteller
Q1993716,fr,filiale espagnole de Nissan
Q1993716,nl,bedrijf uit Spanje
Q1993716,en,Spanish subsidiary company
Q1993724,de,Automobilhersteller
Q1993724,en,former car manufacturer
Q1994528,nl,motorfietsmerk uit Verenigd Koninkrijk
Q1994528,en,UK historical motorcycle manufacturer
Q1350189,fr,"spécialiste des études sur l'Égypte antique (archéologue, papyrologue, épigraphiste ou historien)"
Q1350189,es,especialista en la historia y la arqueología del Antiguo Egipto
Q1350189,it,professione
Q1350189,en,person who studies Ancient Egypt and its antiquities
Q1350189,hu,az ókori Egyiptom történetével foglalkozó történész
Q1350189,de,"Wissenschaftler, der sich mit dem Alten Ägypten beschäftigt; möglich ist sowohl die Beschäftigung mit der Sprache wie auch den archäologischen Hinterlassenschaften"
Q1350189,he,אדם העוסק בחקר מצרים העתיקה
Q1350189,nl,wetenschapper gespecialiseerd in de Egyptische oudheid
Q1350189,sv,person som studerar forntidens Egypten
Q1350189,ka,პროფესია
Q1350189,da,person der studerer oldtidens Egypten
Q1350189,mt,persuna li tistudja l-Eġittu tal-Qedem u l-antikitajiet tiegħu
Q1350189,ar,المتخصص بدراسة مصر القديمة
Q1350189,et,Vana-Egiptuse uurija
